phi1,phi2,flip_time
-3.1,-3.1,0.541299
-3.1,-3.03737,1.94151
-3.1,-2.97475,2.46741
-3.1,-2.91212,1.73316
-3.1,-2.84949,1.83251
-3.1,-2.78687,1.90265
-3.1,-2.72424,1.40753
-3.1,-2.66162,1.27929
-3.1,-2.59899,1.19673
-3.1,-2.53636,1.13798
-3.1,-2.47374,1.09651
-3.1,-2.41111,1.07129
-3.1,-2.34848,1.06846
-3.1,-2.28586,2.1432
-3.1,-2.22323,1.9639
-3.1,-2.16061,2.41593
-3.1,-2.09798,4.7939
-3.1,-2.03535,6.32603
-3.1,-1.97273,9.97344
-3.1,-1.9101,2.84377
-3.1,-1.84747,2.79892
-3.1,-1.78485,2.86433
-3.1,-1.72222,5.29623
-3.1,-1.6596,7.88024
-3.1,-1.59697,6.43923
-3.1,-1.53434,4.19279
-3.1,-1.47172,5.69113
-3.1,-1.40909,6.00515
-3.1,-1.34646,4.4983
-3.1,-1.28384,4.39611
-3.1,-1.22121,4.38764
-3.1,-1.15859,4.72619
-3.1,-1.09596,4.14208
-3.1,-1.03333,6.83965
-3.1,-0.970707,5.89135
-3.1,-0.908081,4.3418
-3.1,-0.845455,6.83011
-3.1,-0.782828,4.6531
-3.1,-0.720202,3.73074
-3.1,-0.657576,5.04
-3.1,-0.594949,5.09811
-3.1,-0.532323,3.476
-3.1,-0.469697,3.44471
-3.1,-0.407071,4.77492
-3.1,-0.344444,5.06955
-3.1,-0.281818,5.94916
-3.1,-0.219192,4.26932
-3.1,-0.156566,15.4439
-3.1,-0.0939394,3.64904
-3.1,-0.0313131,8.21267
-3.1,0.0313131,8.42219
-3.1,0.0939394,7.13222
-3.1,0.156566,3.92765
-3.1,0.219192,5.22371
-3.1,0.281818,13.1998
-3.1,0.344444,5.45928
-3.1,0.407071,2.44572
-3.1,0.469697,2.16205
-3.1,0.532323,2.01376
-3.1,0.594949,1.93684
-3.1,0.657576,1.89307
-3.1,0.720202,1.86756
-3.1,0.782828,1.85467
-3.1,0.845455,1.85255
-3.1,0.908081,1.86076
-3.1,0.970707,1.87911
-3.1,1.03333,1.90721
-3.1,1.09596,1.94394
-3.1,1.15859,1.98676
-3.1,1.22121,2.03068
-3.1,1.28384,2.068
-3.1,1.34646,2.08936
-3.1,1.40909,2.08555
-3.1,1.47172,2.05114
-3.1,1.53434,1.99298
-3.1,1.59697,1.93099
-3.1,1.6596,1.88121
-3.1,1.72222,1.85315
-3.1,1.78485,1.86736
-3.1,1.84747,3.61232
-3.1,1.9101,1.02458
-3.1,1.97273,1.00695
-3.1,2.03535,1.01065
-3.1,2.09798,1.02684
-3.1,2.16061,1.05416
-3.1,2.22323,1.09397
-3.1,2.28586,1.15076
-3.1,2.34848,1.23712
-3.1,2.41111,1.41179
-3.1,2.47374,2.05053
-3.1,2.53636,4.60161
-3.1,2.59899,2.25778
-3.1,2.66162,2.10062
-3.1,2.72424,2.03064
-3.1,2.78687,2.00905
-3.1,2.84949,2.03123
-3.1,2.91212,2.11512
-3.1,2.97475,5.91457
-3.1,3.03737,2.90623
-3.1,3.1,5.50487
-3.03737,-3.1,0.236596
-3.03737,-3.03737,0.551679
-3.03737,-2.97475,2.16349
-3.03737,-2.91212,5.34564
-3.03737,-2.84949,2.26684
-3.03737,-2.78687,1.30303
-3.03737,-2.72424,1.32187
-3.03737,-2.66162,2.12314
-3.03737,-2.59899,2.14477
-3.03737,-2.53636,4.88146
-3.03737,-2.47374,7.13077
-3.03737,-2.41111,4.924
-3.03737,-2.34848,2.8103
-3.03737,-2.28586,2.77988
-3.03737,-2.22323,6.26584
-3.03737,-2.16061,3.5364
-3.03737,-2.09798,2.01315
-3.03737,-2.03535,2.07524
-3.03737,-1.97273,2.19328
-3.03737,-1.9101,2.35914
-3.03737,-1.84747,3.37656
-3.03737,-1.78485,4.7018
-3.03737,-1.72222,3.19602
-3.03737,-1.6596,5.17221
-3.03737,-1.59697,3.46233
-3.03737,-1.53434,3.36006
-3.03737,-1.47172,3.33974
-3.03737,-1.40909,3.32068
-3.03737,-1.34646,3.30498
-3.03737,-1.28384,3.32847
-3.03737,-1.22121,3.43457
-3.03737,-1.15859,4.51621
-3.03737,-1.09596,5.95658
-3.03737,-1.03333,2.89743
-3.03737,-0.970707,4.12971
-3.03737,-0.908081,3.64447
-3.03737,-0.845455,4.50325
-3.03737,-0.782828,16.2621
-3.03737,-0.720202,4.93077
-3.03737,-0.657576,4.94761
-3.03737,-0.594949,5.14757
-3.03737,-0.532323,-1
-3.03737,-0.469697,5.45683
-3.03737,-0.407071,5.67145
-3.03737,-0.344444,5.14603
-3.03737,-0.281818,4.92072
-3.03737,-0.219192,8.30091
-3.03737,-0.156566,8.6562
-3.03737,-0.0939394,3.86909
-3.03737,-0.0313131,3.37128
-3.03737,0.0313131,7.79753
-3.03737,0.0939394,3.21584
-3.03737,0.156566,3.14534
-3.03737,0.219192,3.28527
-3.03737,0.281818,3.41754
-3.03737,0.344444,4.83814
-3.03737,0.407071,3.60443
-3.03737,0.469697,6.79628
-3.03737,0.532323,2.54558
-3.03737,0.594949,2.11582
-3.03737,0.657576,2.02155
-3.03737,0.720202,16.2982
-3.03737,0.782828,3.33228
-3.03737,0.845455,4.59772
-3.03737,0.908081,2.9904
-3.03737,0.970707,2.90204
-3.03737,1.03333,1.13167
-3.03737,1.09596,1.0986
-3.03737,1.15859,1.07524
-3.03737,1.22121,1.05473
-3.03737,1.28384,1.03607
-3.03737,1.34646,1.01974
-3.03737,1.40909,1.00637
-3.03737,1.47172,0.996421
-3.03737,1.53434,0.99022
-3.03737,1.59697,0.98802
-3.03737,1.6596,0.990103
-3.03737,1.72222,0.996848
-3.03737,1.78485,1.0088
-3.03737,1.84747,1.0268
-3.03737,1.9101,1.05215
-3.03737,1.97273,1.08707
-3.03737,2.03535,1.13581
-3.03737,2.09798,1.20818
-3.03737,2.16061,1.33668
-3.03737,2.22323,1.66974
-3.03737,2.28586,3.26076
-3.03737,2.34848,3.61013
-3.03737,2.41111,4.56581
-3.03737,2.47374,2.06582
-3.03737,2.53636,1.98097
-3.03737,2.59899,1.9422
-3.03737,2.66162,1.93652
-3.03737,2.72424,1.96603
-3.03737,2.78687,2.04872
-3.03737,2.84949,4.85079
-3.03737,2.91212,3.23313
-3.03737,2.97475,5.01696
-3.03737,3.03737,3.78002
-3.03737,3.1,2.04993
-2.97475,-3.1,0.177869
-2.97475,-3.03737,0.337292
-2.97475,-2.97475,0.574072
-2.97475,-2.91212,2.27942
-2.97475,-2.84949,1.9357
-2.97475,-2.78687,2.01292
-2.97475,-2.72424,2.14712
-2.97475,-2.66162,2.69167
-2.97475,-2.59899,3.9173
-2.97475,-2.53636,2.77488
-2.97475,-2.47374,3.66058
-2.97475,-2.41111,4.03321
-2.97475,-2.34848,4.42171
-2.97475,-2.28586,3.22243
-2.97475,-2.22323,2.19601
-2.97475,-2.16061,2.09813
-2.97475,-2.09798,2.03649
-2.97475,-2.03535,1.99304
-2.97475,-1.97273,1.9616
-2.97475,-1.9101,1.9395
-2.97475,-1.84747,1.92569
-2.97475,-1.78485,1.92046
-2.97475,-1.72222,1.92672
-2.97475,-1.6596,4.23412
-2.97475,-1.59697,4.19848
-2.97475,-1.53434,8.75188
-2.97475,-1.47172,3.29698
-2.97475,-1.40909,2.81142
-2.97475,-1.34646,2.73665
-2.97475,-1.28384,2.71041
-2.97475,-1.22121,2.71521
-2.97475,-1.15859,2.76309
-2.97475,-1.09596,6.47926
-2.97475,-1.03333,4.64971
-2.97475,-0.970707,7.36014
-2.97475,-0.908081,5.89187
-2.97475,-0.845455,5.26318
-2.97475,-0.782828,3.48529
-2.97475,-0.720202,3.16093
-2.97475,-0.657576,3.25675
-2.97475,-0.594949,3.65502
-2.97475,-0.532323,4.4543
-2.97475,-0.469697,9.81816
-2.97475,-0.407071,4.96859
-2.97475,-0.344444,6.36841
-2.97475,-0.281818,14.0061
-2.97475,-0.219192,4.5306
-2.97475,-0.156566,5.61865
-2.97475,-0.0939394,3.41415
-2.97475,-0.0313131,3.26038
-2.97475,0.0313131,4.68269
-2.97475,0.0939394,10.9916
-2.97475,0.156566,2.99643
-2.97475,0.219192,3.01956
-2.97475,0.281818,4.05909
-2.97475,0.344444,2.57488
-2.97475,0.407071,2.35894
-2.97475,0.469697,2.57398
-2.97475,0.532323,3.47306
-2.97475,0.594949,2.91377
-2.97475,0.657576,4.76
-2.97475,0.720202,4.42545
-2.97475,0.782828,2.26997
-2.97475,0.845455,4.08179
-2.97475,0.908081,1.31726
-2.97475,0.970707,1.2209
-2.97475,1.03333,1.17043
-2.97475,1.09596,1.13578
-2.97475,1.15859,1.11096
-2.97475,1.22121,1.0935
-2.97475,1.28384,1.08212
-2.97475,1.34646,1.07611
-2.97475,1.40909,1.07513
-2.97475,1.47172,1.07923
-2.97475,1.53434,1.08878
-2.97475,1.59697,1.1046
-2.97475,1.6596,1.12818
-2.97475,1.72222,1.1622
-2.97475,1.78485,1.21181
-2.97475,1.84747,1.28828
-2.97475,1.9101,1.41859
-2.97475,1.97273,1.64026
-2.97475,2.03535,2.84044
-2.97475,2.09798,4.28503
-2.97475,2.16061,5.87711
-2.97475,2.22323,9.78213
-2.97475,2.28586,2.07102
-2.97475,2.34848,1.96295
-2.97475,2.41111,1.91146
-2.97475,2.47374,1.8893
-2.97475,2.53636,1.89214
-2.97475,2.59899,1.92422
-2.97475,2.66162,2.00169
-2.97475,2.72424,2.27515
-2.97475,2.78687,2.01535
-2.97475,2.84949,2.70015
-2.97475,2.91212,3.89186
-2.97475,2.97475,8.91132
